City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
133,Caucaia,BR,85.95,scattered clouds,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
134,Conselice,IT,80.62,overcast clouds,44.5119,11.8312,agriturismo del merlo
135,Atuona,PF,77.34,light rain,-9.8,-139.0333,Villa Enata
140,Timon,BR,89.38,scattered clouds,-5.0942,-42.8367,Pousada dos Cocais
143,Isangel,VU,75.47,broken clouds,-19.55,169.2667,Tanna Lodge
145,Nador,MA,80.67,clear sky,35.174,-2.9287,Hôtel La Giralda
153,Sangre Grande,TT,87.93,broken clouds,10.5835,-61.1177,Lotus drive
154,Butaritari,KI,81.34,light rain,3.0707,172.7902,Isles Sunset Lodge
156,Liku,ID,75.72,overcast clouds,-0.7275,119.8922,Wahyu
158,Shache,CN,71.51,overcast clouds,38.4167,77.2406,Delong Hotel
159,Puerto Maldonado,PE,82.44,broken clouds,-12.6,-69.1833,Wasai Hotel
162,Slovenska Bistrica,SI,71.47,overcast clouds,46.3928,15.5744,Hotel Leonardo
168,Joao Pessoa,BR,80.83,light rain,-7.115,-34.8631,Nobile Suítes Tambaú
172,Zhuhai,CN,77.86,light intensity shower rain,22.2769,113.5678,珠海粤财假日酒店
176,Carnarvon,AU,70.86,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
179,Casablanca,MA,73.62,broken clouds,33.5928,-7.6192,فندق البيت المغربي كازبلانكا
180,Manta,EC,83.98,scattered clouds,-0.95,-80.7333,Balandra Hotel
184,Soubre,CI,71.31,light rain,5.7856,-6.6083,Lynd Hotels Soubre
185,Sao Filipe,CV,72.28,clear sky,14.8961,-24.4956,Hotel Xaguate
187,Cabo San Lucas,MX,85.3,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
192,Turayf,SA,73.65,broken clouds,31.6725,38.6637,Turaif
198,Katobu,ID,74.64,scattered clouds,-4.9408,122.5276,La Ode Husein
199,Pangai,TO,77.11,scattered clouds,-19.8,-174.35,Ha'apai Beach Resort
203,Creel,MX,77.83,clear sky,27.75,-107.6333,The Lodge at Creel Hotel & SPA
205,Kulhudhuffushi,MV,83.23,few clouds,6.6221,73.07,Haajy Guest House 1
207,Quatre Cocos,MU,75.31,scattered clouds,-20.2078,57.7625,Sunrise Attitude Hotel
210,Ponta Do Sol,PT,72.01,few clouds,32.6667,-17.1,Hotel do Campo
212,Hithadhoo,MV,83.86,overcast clouds,-0.6,73.0833,Scoop Guest House
