City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
237,Sozimskiy,RU,2022-05-21 04:54:19,59.7418,52.2482,35.4,98,100,7.23
238,Bend,US,2022-05-21 04:50:03,44.0582,-121.3153,47.86,63,0,6.91
239,Zdvinsk,RU,2022-05-21 04:54:20,54.7021,78.661,70.14,42,98,11.07
240,Laguna,US,2022-05-21 04:52:35,38.421,-121.4238,75.49,21,0,12.66
241,Alvand,IR,2022-05-21 04:54:20,36.3187,49.1678,43.0,82,77,8.37
242,Ketchikan,US,2022-05-21 04:54:21,55.3422,-131.6461,60.78,61,8,3.98
243,Vadlapudi,IN,2022-05-21 04:54:21,14.3167,79.8,93.31,42,65,18.7
244,San Jose,US,2022-05-21 04:53:10,37.3394,-121.895,62.58,50,0,0.0
245,Gabu,GW,2022-05-21 04:54:22,12.2833,-14.2167,74.61,86,25,7.27
246,Cabedelo,BR,2022-05-21 04:54:22,-6.9811,-34.8339,75.87,87,80,8.93
247,Kendari,ID,2022-05-21 04:54:22,-3.945,122.4989,85.84,65,66,5.73
248,Krasnyy Chikoy,RU,2022-05-21 04:54:23,50.3643,108.7512,82.06,20,6,2.15
249,Butembo,CD,2022-05-21 04:54:23,0.15,29.2833,59.25,92,100,1.77
250,Vacaria,BR,2022-05-21 04:54:23,-28.5122,-50.9339,38.25,91,0,4.23
251,Coihueco,CL,2022-05-21 04:53:25,-36.6167,-71.8333,38.14,100,5,0.0
252,Buala,SB,2022-05-21 04:54:24,-8.145,159.5921,83.34,69,75,3.74
253,Zeya,RU,2022-05-21 04:54:24,53.75,127.2667,60.19,41,89,6.4
254,Kharp,RU,2022-05-21 04:54:25,66.8014,65.8081,42.08,48,100,8.9
255,Ugoofaaru,MV,2022-05-21 04:54:25,5.6667,73.0,83.48,76,49,15.9
256,Kaeo,NZ,2022-05-21 04:50:09,-35.1,173.7833,60.33,72,76,10.18
257,Gryazi,RU,2022-05-21 04:54:25,52.4966,39.9359,47.43,53,100,6.76
258,Dubbo,AU,2022-05-21 04:53:44,-32.25,148.6167,66.33,52,40,17.27
259,Chernihiv,UA,2022-05-21 04:54:26,51.0,32.0,61.02,91,100,12.03
260,Cockburn Town,TC,2022-05-21 04:54:26,21.4612,-71.1419,79.75,82,67,16.84
261,Avera,US,2022-05-21 04:54:26,33.194,-82.5271,78.55,61,83,11.72
262,Tambacounda,SN,2022-05-21 04:54:27,13.7539,-13.7586,86.05,58,0,11.5
263,Asau,RO,2022-05-21 04:54:27,46.4333,26.4,58.28,61,12,6.69
264,Tricase,IT,2022-05-21 04:54:27,39.9304,18.3553,58.32,52,10,9.71
265,Sao Gabriel Da Cachoeira,BR,2022-05-21 04:54:27,-0.1303,-67.0892,68.27,99,88,0.69
266,East Foothills,US,2022-05-21 04:54:28,37.3811,-121.8175,61.57,48,4,1.9
267,Starobaltachevo,RU,2022-05-21 04:54:28,56.0013,55.9213,44.53,74,100,10.31
