City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
246,Provideniya,RU,64.3833,-173.3,49.15,43,100,10.78,overcast clouds
247,Iqaluit,CA,63.7506,-68.5145,26.33,79,100,24.16,light snow
248,Notse,TG,6.95,1.1667,74.25,83,51,4.83,broken clouds
249,Dingle,PH,10.9995,122.6711,77.2,88,100,4.23,overcast clouds
250,Luang Prabang,LA,19.8856,102.1347,73.02,100,100,1.39,overcast clouds
251,Maragogi,BR,-9.0122,-35.2225,79.2,79,5,15.23,clear sky
252,Bougouni,ML,11.417,-7.479,82.29,55,100,3.2,light rain
253,Mocuba,MZ,-16.8392,36.9856,68.72,86,95,2.71,overcast clouds
254,Agadez,NE,19.75,10.25,88.84,10,100,5.64,overcast clouds
255,Monduli,TZ,-3.3,36.45,62.46,72,84,4.99,broken clouds
256,Idah,NG,7.1065,6.7342,76.62,91,100,5.5,overcast clouds
257,Tuatapere,NZ,-46.1333,167.6833,43.93,84,65,7.61,broken clouds
258,Kaitangata,NZ,-46.2817,169.8464,46.53,84,83,13.11,broken clouds
259,Broken Hill,AU,-31.95,141.4333,54.07,81,3,5.93,clear sky
260,Hasaki,JP,35.7333,140.8333,59.4,83,100,6.31,moderate rain
261,Novyy Chirkey,RU,43.162,47.0559,62.65,59,0,2.33,clear sky
262,Vagay,RU,57.9375,69.0217,39.31,93,18,5.23,few clouds
263,Banyo,CM,6.75,11.8167,66.85,91,68,4.0,light rain
264,Sibolga,ID,1.7427,98.7792,76.8,88,100,3.42,overcast clouds
265,La Ronge,CA,55.1001,-105.2842,62.85,15,75,12.66,broken clouds
266,Hofn,IS,64.2539,-15.2082,53.62,54,75,20.71,broken clouds
267,Alice Springs,AU,-23.7,133.8833,45.95,71,44,0.0,scattered clouds
268,Gigmoto,PH,13.7796,124.39,79.84,86,100,7.07,overcast clouds
269,Cranbrook,CA,49.4999,-115.7688,55.24,35,20,2.3,few clouds
270,Samarinda,ID,-0.5,117.15,73.49,99,82,1.03,broken clouds
271,Yulara,AU,-25.2406,130.9889,56.73,43,100,8.34,overcast clouds
272,Coihaique,CL,-45.5752,-72.0662,40.95,70,75,6.91,broken clouds
273,Ahipara,NZ,-35.1667,173.1667,58.89,75,100,10.22,overcast clouds
274,Kodiak,US,57.79,-152.4072,49.51,76,75,14.97,broken clouds
275,Newport,GB,51.5877,-2.9984,64.92,68,100,6.4,overcast clouds
276,Nyuksenitsa,RU,60.4128,44.2397,32.04,97,100,9.22,light snow
